Date	Open	High	Low	Close	Volume
1/2/2009 16:00:00	37.72	40.06	37.5	39.51	9966400
1/5/2009 16:00:00	39.38	40.85	38.05	39.48	10909178
1/6/2009 16:00:00	41.03	41.47	38.36	40.14	11546491
1/7/2009 16:00:00	39.06	39.22	36.86	37.21	7676605
1/8/2009 16:00:00	36.98	38.47	36.13	38.34	6595356
1/9/2009 16:00:00	38.64	38.99	36.51	36.7	6376795
1/12/2009 16:00:00	35.88	36	31.8	31.97	14363092
1/13/2009 16:00:00	31.54	33.31	31.19	32.8	9100951
1/14/2009 16:00:00	31.97	32.2	30	30.34	7908121
1/15/2009 16:00:00	30.86	33.41	28.89	32.29	14759704
1/16/2009 16:00:00	33.22	34.09	31.13	32.58	9509495
1/20/2009 16:00:00	31.61	32.58	29.96	30.1	7223519
1/21/2009 16:00:00	31.01	31.99	29.85	31.8	7791368
1/22/2009 16:00:00	30.87	31.28	29.63	30	9169308
1/23/2009 16:00:00	28.77	32	28.36	30.79	9370578
1/26/2009 16:00:00	30.82	32.2	29.04	29.46	9537299
1/27/2009 16:00:00	31.97	32.35	30.72	31.49	18127200
1/28/2009 16:00:00	32.7	34.9	32.5	34.8	14868273
1/29/2009 16:00:00	33.81	34	32.59	32.89	10674039
1/30/2009 16:00:00	31.85	32.1	29.5	30.03	13192050
2/2/2009 16:00:00	29.34	29.7	27.73	28.18	12972565
2/3/2009 16:00:00	28.46	29.67	28.34	29.02	8795037
2/4/2009 16:00:00	29.79	31.46	29.68	30.41	11521514
2/5/2009 16:00:00	30.46	31.95	29.2	31.43	9279997
2/6/2009 16:00:00	31.95	35	31.55	34.46	14449717
2/9/2009 16:00:00	35	36.7	34.16	35.05	14624735
2/10/2009 16:00:00	35.03	35.05	30.79	31.16	15368658
2/11/2009 16:00:00	31.97	32.31	29.79	30.75	12795659
2/12/2009 16:00:00	30	31.61	29.05	31.54	12132917
2/13/2009 16:00:00	31.49	32.08	30.25	30.61	9703682
2/17/2009 16:00:00	28.95	29.16	27.2	27.33	12754076
2/18/2009 16:00:00	27.69	27.7	24.71	25.46	17870314
2/19/2009 16:00:00	26.51	26.98	24.46	24.77	12732112
2/20/2009 16:00:00	23.82	25.62	23.39	24.8	13274664
2/23/2009 16:00:00	25.22	25.35	20.1	21.53	19571200
2/24/2009 16:00:00	21.61	22.27	20.28	22.15	20427204
2/25/2009 16:00:00	22.41	22.89	20.78	20.92	16686938
2/26/2009 16:00:00	21.6	21.98	19.93	20.06	14665147
2/27/2009 16:00:00	19.67	20.81	19.03	19.67	15011639
3/2/2009 16:00:00	19.2	19.32	16.8	16.88	18687036
3/3/2009 16:00:00	17.46	17.95	16.94	17.21	17755536
3/4/2009 16:00:00	17.46	19.37	17.46	18.93	23990502
3/5/2009 16:00:00	18	18.72	17.39	17.64	18562992
3/6/2009 16:00:00	18.13	18.9	16.97	17.69	17845800
3/9/2009 16:00:00	17.38	18.4	17.08	17.42	15250419
3/10/2009 16:00:00	18.38	20.4	18.21	20.08	19400220
3/11/2009 16:00:00	20.75	20.87	18.84	19.33	17000276
3/12/2009 16:00:00	18.74	19.28	17.61	19.1	21377218
3/13/2009 16:00:00	19.5	19.53	17.62	18.18	19677284
3/16/2009 16:00:00	18.53	19.6	17.87	18.4	16882528
3/17/2009 16:00:00	17.46	17.87	16.66	17.81	19435136
3/18/2009 16:00:00	17.55	19.57	17.15	19.17	20014840
3/19/2009 16:00:00	20.16	22.45	19.92	20.94	31639064
3/20/2009 16:00:00	21.37	21.49	19.25	19.72	20139260
3/23/2009 16:00:00	20.9	22.14	19.91	22.08	22958064
3/24/2009 16:00:00	21.6	24.27	21.05	23.32	26374212
3/25/2009 16:00:00	23.79	25.74	22.48	23.47	34698320
3/26/2009 16:00:00	24.44	25.11	24.11	24.74	19796220
3/27/2009 16:00:00	24.2	24.92	23.26	24.35	16625233
3/30/2009 16:00:00	22.74	22.74	20.9	21.55	17419900
3/31/2009 16:00:00	22.31	22.31	20.79	21.13	18586932
4/1/2009 16:00:00	20.5	22.92	20.17	22.62	18641148
4/2/2009 16:00:00	24.09	25.5	23.78	25.18	22057196
4/3/2009 16:00:00	24.65	26.45	24.5	25.87	19970472
4/6/2009 16:00:00	25.12	25.38	24.33	25.16	12912918
4/7/2009 16:00:00	24.13	24.78	23.31	23.39	13454004
4/8/2009 16:00:00	24.18	24.36	22.65	23.85	11572042
4/9/2009 16:00:00	25.24	26.16	24.85	26.11	14529163
4/13/2009 16:00:00	25.58	27.72	25.18	27.37	13238389
4/14/2009 16:00:00	26.87	27.88	25.82	26.08	14152468
4/15/2009 16:00:00	26.14	27.61	25.73	27.61	15673708
4/16/2009 16:00:00	28.23	29.24	27.02	28.74	17938588
4/17/2009 16:00:00	28.77	30.38	28.1	29.96	19929346
4/20/2009 16:00:00	28.75	28.75	26.55	26.58	15333992
4/21/2009 16:00:00	25.56	28.51	25.49	28.28	14652698
4/22/2009 16:00:00	27.73	29.54	27.22	28.35	13575909
4/23/2009 16:00:00	27.59	28.16	26.57	27.03	16205203
4/24/2009 16:00:00	27.56	29.39	27.27	29.03	16557912
4/27/2009 16:00:00	27.76	28.59	27.2	27.71	15744789
4/28/2009 16:00:00	25.47	27.09	25.19	26.15	26649532
4/29/2009 16:00:00	26.33	26.85	25.5	25.5	50019096
4/30/2009 16:00:00	26.17	26.8	25.76	26.55	29138784
5/1/2009 16:00:00	26.64	29.02	26.58	28.56	22842640
5/4/2009 16:00:00	29.44	31.7	29.32	31.46	23021776
5/5/2009 16:00:00	30.55	31.22	29.71	30.81	22595628
5/6/2009 16:00:00	31.92	31.94	30.33	31.2	20118428
5/7/2009 16:00:00	32.17	32.97	29.3	29.99	19559328
5/8/2009 16:00:00	30.98	31.65	30.16	31.3	15928947
5/11/2009 16:00:00	30.23	30.45	29.14	29.3	16080251
5/12/2009 16:00:00	29.55	29.82	27.6	28.87	16859944
5/13/2009 16:00:00	27.99	28.19	26.27	26.71	19471436
5/14/2009 16:00:00	26.81	27.7	25.96	27.39	13920288
5/15/2009 16:00:00	27.61	28.19	26.71	27.13	11371250
5/18/2009 16:00:00	27.76	28.54	27.06	28.53	12904222
5/19/2009 16:00:00	28.56	30.71	28.53	29.94	17897086
5/20/2009 16:00:00	31.15	32.8	30.76	31.24	21282822
5/21/2009 16:00:00	30.24	30.64	29.45	30	14324136
5/22/2009 16:00:00	30.44	30.74	29.37	29.49	12701930
5/26/2009 16:00:00	28.76	30.99	28.62	30.73	14060947
5/27/2009 16:00:00	31.06	33.54	30.91	31.78	19893890
5/28/2009 16:00:00	32.49	33.17	31.72	32.8	14576023
5/29/2009 16:00:00	33.22	34.08	33.11	34.08	16217401
6/1/2009 16:00:00	35.58	37.39	35.24	36.82	18914736
6/2/2009 16:00:00	36.9	37.84	36.14	36.43	15025060
6/3/2009 16:00:00	35.75	35.93	33.39	33.98	17003156
6/4/2009 16:00:00	34.44	36.07	33.86	35.58	13985340
6/5/2009 16:00:00	36.37	37.25	35.32	36.21	19216912
6/8/2009 16:00:00	35.02	35.42	33.86	35.06	14854046
6/9/2009 16:00:00	36.35	38.03	36.11	37.82	18895196
6/10/2009 16:00:00	39.22	40.21	38.52	40.13	24732940
6/11/2009 16:00:00	40.29	43.15	40.2	41.83	31192156
6/12/2009 16:00:00	40.92	41.17	38.8	39.32	26734964
6/15/2009 16:00:00	38.02	38.23	37.01	37.1	16862648
6/16/2009 16:00:00	38.18	38.86	36.07	36.7	18637208
6/17/2009 16:00:00	36.24	37.04	35.02	36.16	18826680
6/18/2009 16:00:00	36.35	37.28	35.58	36.82	13549464
6/19/2009 16:00:00	37.68	37.99	37.01	37.57	13396813
6/22/2009 16:00:00	36.55	36.99	34	34.12	14693950
6/23/2009 16:00:00	34.28	35.1	33.12	34.54	18121280
6/24/2009 16:00:00	35.33	36.29	34.62	35.13	14353944
6/25/2009 16:00:00	34.72	36.08	34.55	35.96	10308717
6/26/2009 16:00:00	35.78	37.4	35.66	36.91	15876208
